source,target,link_type,similarity
88d0a882-27ef-480f-b7a5-4a9dd953e19d,6b14d597-3831-454c-99d4-40a7ce191901,RELATES_TO,0.6837
88d0a882-27ef-480f-b7a5-4a9dd953e19d,f0087ff3-f56b-455c-8626-78b60f895474,RELATES_TO,0.6756
88d0a882-27ef-480f-b7a5-4a9dd953e19d,48d0420d-7862-4226-96c2-124987012b8f,RELATES_TO,0.6670
88d0a882-27ef-480f-b7a5-4a9dd953e19d,325aaeda-6780-4748-959c-03d97f582a12,RELATES_TO,0.6611
88d0a882-27ef-480f-b7a5-4a9dd953e19d,984ec5c1-ebf7-4ee2-b4a1-d54ac5008309,RELATES_TO,0.6320
325aaeda-6780-4748-959c-03d97f582a12,6b14d597-3831-454c-99d4-40a7ce191901,RELATES_TO,0.7722
325aaeda-6780-4748-959c-03d97f582a12,f0087ff3-f56b-455c-8626-78b60f895474,RELATES_TO,0.7474
325aaeda-6780-4748-959c-03d97f582a12,64d2e12a-d89c-4f71-92e2-e565db5d46eb,RELATES_TO,0.7181
325aaeda-6780-4748-959c-03d97f582a12,b01689b6-3d49-4b7a-bcb6-b0f5c17786f4,RELATES_TO,0.7153
325aaeda-6780-4748-959c-03d97f582a12,962ccd9a-3b89-4b26-9bd3-ea8bbb4b5bb4,RELATES_TO,0.7115
3749813d-e8c5-462a-a8a8-98e5b8c1d54f,c483b548-12d5-453f-b625-536bcf6a2b27,RELATES_TO,0.7042
3749813d-e8c5-462a-a8a8-98e5b8c1d54f,984ec5c1-ebf7-4ee2-b4a1-d54ac5008309,RELATES_TO,0.6984
3749813d-e8c5-462a-a8a8-98e5b8c1d54f,d3bcd580-e4df-4beb-a53a-70f58473fc4e,RELATES_TO,0.6962
3749813d-e8c5-462a-a8a8-98e5b8c1d54f,498b6ac1-07f0-4a0f-a5c2-57feeb0be2ed,RELATES_TO,0.6919
3749813d-e8c5-462a-a8a8-98e5b8c1d54f,2ebf91f4-d9be-472e-a3d1-225eb76d7c2f,RELATES_TO,0.6745
a3fbe51a-5f62-47d1-a63c-1e1b4b0c9367,3749813d-e8c5-462a-a8a8-98e5b8c1d54f,RELATES_TO,0.6134
c483b548-12d5-453f-b625-536bcf6a2b27,050f6f97-d221-4d73-9be9-39fa9b1f33e9,RELATES_TO,0.6939
c483b548-12d5-453f-b625-536bcf6a2b27,2ebf91f4-d9be-472e-a3d1-225eb76d7c2f,RELATES_TO,0.6645
c483b548-12d5-453f-b625-536bcf6a2b27,14533798-9c62-4138-89eb-1b2c6b5de9e2,RELATES_TO,0.6479
c483b548-12d5-453f-b625-536bcf6a2b27,12a4fee3-623a-4e73-ba6e-da0b7583c635,RELATES_TO,0.6408
e768b072-2f7b-483c-ae3c-84d8a95dc2bc,c483b548-12d5-453f-b625-536bcf6a2b27,RELATES_TO,0.5901
a3fbe51a-5f62-47d1-a63c-1e1b4b0c9367,c483b548-12d5-453f-b625-536bcf6a2b27,RELATES_TO,0.5999
6b14d597-3831-454c-99d4-40a7ce191901,e86fbd5e-e196-4f8a-bb32-2b47051a91fe,RELATES_TO,0.8448
6b14d597-3831-454c-99d4-40a7ce191901,962ccd9a-3b89-4b26-9bd3-ea8bbb4b5bb4,RELATES_TO,0.8263
6b14d597-3831-454c-99d4-40a7ce191901,f0087ff3-f56b-455c-8626-78b60f895474,RELATES_TO,0.8241
6b14d597-3831-454c-99d4-40a7ce191901,64d2e12a-d89c-4f71-92e2-e565db5d46eb,RELATES_TO,0.8181
6b14d597-3831-454c-99d4-40a7ce191901,b01689b6-3d49-4b7a-bcb6-b0f5c17786f4,RELATES_TO,0.7723
984ec5c1-ebf7-4ee2-b4a1-d54ac5008309,6b14d597-3831-454c-99d4-40a7ce191901,RELATES_TO,0.7025
8cb94233-28bc-4b2a-bea9-2f562d1ff69f,6b14d597-3831-454c-99d4-40a7ce191901,RELATES_TO,0.7065
8b7d1251-638a-48c1-ab75-44d6e98eebdf,6b14d597-3831-454c-99d4-40a7ce191901,RELATES_TO,0.6985
